restaurant_name,address,zip_code,restaurant_style,rating_count,avg_rating,price_range,image
Taco John's,902 Meijer Dr,61822,Mexican Fast Food ,0,0,1,https://s3-media1.fl.yelpcdn.com/bphoto/1vlflf4j-Rl1Chr2vWDDnQ/o.jpg
Lao Sze Chuan Chinese Restaurant,608 E University Ave,61820,Szechuan ,0,0,2,https://s3-media4.fl.yelpcdn.com/bphoto/yk0Cp4cNMcJbeZjBwk2ZOg/o.jpg
Sammy's Pancake House,1206 N Mattis Ave,61821,Breakfast & Brunch ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/xtqk5d7LT87CPKn0lL-NCA/o.jpg
Jet's Pizza,512 S Neil St,61820,Pizza ,0,0,1,https://s3-media4.fl.yelpcdn.com/bphoto/Y060U1xV8HgQw7Bi9W7usg/o.jpg
Wingin Out,301 E Green St,61820,Chicken Wings American (New) Fast Food ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/7_DSe5pir9RGW2ptrwymRw/o.jpg
Taipei Cafe,512 E Green St,61820,Bubble Tea Desserts ,0,0,1,https://s3-media4.fl.yelpcdn.com/bphoto/qbZ9Nt17o79zoE9T35HtyA/o.jpg
Asian Taste Restaurant,502 E John St,61820,Chinese ,0,0,1,https://s3-media1.fl.yelpcdn.com/bphoto/PVK0Ji2z-vH5a2y31IOl0g/o.jpg
Red Cape Hot Pot,112 E Green St,61820,Hot Pot ,0,0,0,https://s3-media2.fl.yelpcdn.com/bphoto/mPg8cF6SAAXdOmUCbWRFBw/o.jpg
Clever Moose Market Café,1807 S Neil St,61820,Cafes ,0,0,0,https://s3-media2.fl.yelpcdn.com/bphoto/3aKRFz_cX0kwV1E3CXLZag/o.jpg
Marble Slab Creamery,1211 Savoy Plz Ln,61874,Ice Cream & Frozen Yogurt Cupcakes ,0,0,2,https://s3-media1.fl.yelpcdn.com/bphoto/6XOwTXJ6xA8Mj38cXAGn2w/o.jpg
Hammond Cafe,8266 US Hwy 36,61929,Cafes ,0,0,0,
Stagecoach At Gordyville,2203 County Rd 3000 N,61866,American (New) Pizza Barbeque ,0,0,1,https://s3-media1.fl.yelpcdn.com/bphoto/5AXTp5wzmGEI1cHWCVM0nA/o.jpg
Spicy Tang,607 S 6th St,61820,Chinese ,0,0,2,https://s3-media2.fl.yelpcdn.com/bphoto/5e2WToBvAvBfzd7o9t6fsg/o.jpg
Subway Restaurants,725 W. Champaign Ave,61866,Sandwiches ,0,0,1,https://s3-media1.fl.yelpcdn.com/bphoto/TCYtL5ANU9gdkzAV0yv8TQ/o.jpg
Attie's Bar & Grill,2600 S Stone Creek Blvd,61802,American (Traditional) Bars ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/2D7do3HYVNAsizqjl3v0lg/o.jpg
Freddy's Frozen Custard & Steakburgers,420 W Towncenter Blvd,61822,Burgers Ice Cream & Frozen Yogurt Fast Food ,0,0,1,https://s3-media3.fl.yelpcdn.com/bphoto/IeB-agN_XpMTljyIM9NyoQ/o.jpg
Jupiter's Pizzeria and Billiards,39 E Main St,61820,Pool Halls Pizza Lounges ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/TBbmnjoqmB81VHNNJFLLUg/o.jpg
Berries and Flour,,61822,Bakeries Fruits & Veggies Custom Cakes ,0,0,0,https://s3-media2.fl.yelpcdn.com/bphoto/woy6tkYpeBmK-aHC347Jkg/o.jpg
Smallcakes Cupcakery and Creamery,2005 S Neil St,61820,Bakeries Cupcakes Custom Cakes ,0,0,0,https://s3-media3.fl.yelpcdn.com/bphoto/vq8p4owcp69WCoYFlTcGZQ/o.jpg
DP Dough,33 E Green St,61820,Pizza Fast Food ,0,0,1,https://s3-media4.fl.yelpcdn.com/bphoto/Cr4JkXWScRaMakFC8tWLTw/o.jpg
Tastefully Done,,61820,Food Delivery Services ,0,0,0,https://s3-media2.fl.yelpcdn.com/bphoto/w8VX_UmTiNoQATcwUTisYw/o.jpg
Jimmy John's,710 W Champaign Ave,61866,Sandwiches Fast Food Delis ,0,0,1,
Rainbow Garden Champaign,1402 S Neil St,61820,Chinese ,0,0,2,https://s3-media1.fl.yelpcdn.com/bphoto/9OeYrFOORvHb2e0JhKGy4w/o.jpg
Carmella's Creme,1611 W Springfield Ave,61821,Donuts ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/tnlVsj0GVES8og5FAnJ0iw/o.jpg
Penn Station,906 W Town Center Blvd,61822,Sandwiches ,0,0,2,https://s3-media1.fl.yelpcdn.com/bphoto/dyvDDGZ50dwOGSP6ZlomlQ/o.jpg
McAlister's Deli,421 Town Center Rd,61820,Delis Salad Sandwiches ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/swv8E72jDPoe1sPPSjtzdw/o.jpg
El Toro Bravo,2561 W Springfield Ave,61821,Mexican ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/PbU6kONQ7O6D1x1x2iB3vw/o.jpg
