"restaurant_name","address","zip_code","restaurant_style","rating_count","avg_rating","price_range","image"
"Comfort LA","1110 E 7th St","90021","Comfort Food Chicken Wings Soul Food ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/fqeCa32bFqtkT5PEwUfuag/o.jpg"
"Sonoratown","208 E 8th St","90014","Tacos ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/wOFFBVqWSzMfwx-vDbWPUw/o.jpg"
"Sidewalk Grill","1727 N Vermont Ave","90027","Mediterranean Salad Wraps ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/vqgcfE-mNDm694TkMQU9sg/o.jpg"
"Papi Tacos & Churros","2622 W Jefferson Blvd","90018","Tacos ",0,0,0,"https://s3-media1.fl.yelpcdn.com/bphoto/CX6oKVumq2nPfCOINikw3Q/o.jpg"
"Wok Bar","3055 W 7th St","90005","Chinese Hot Pot ",0,0,0,"https://s3-media1.fl.yelpcdn.com/bphoto/y0Xd_ro0psiipWO7eUQ8jw/o.jpg"
"Masa of Echo Park","1800 W Sunset Blvd","90026","American (New) Pizza Salad ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/k8LDtpavOtjYyjgHcErZaA/o.jpg"
"LA Brisket","736 N Broadway","90012","Barbeque Sandwiches ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/9_lXWRAo1Mt07xveULdM3Q/o.jpg"
"Pepper Lunch","6 W Main St","91801","Japanese Steakhouses Asian Fusion ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/_ZelMAyRh0b-Grwh2OgZ6w/o.jpg"
"Mike's Deli","4859 W Slauson Ave","90056","Delis Salad Sandwiches ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/EfEo6Z2gvSw_ckpH1tsraw/o.jpg"
"LA Rose Cafe","4749 Fountain Ave","90029","Filipino ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/Bt2uwhsD_SrBEKtsYwkUAw/o.jpg"
"Oi Asian Fusion","4734 Hollywood Blvd","90027","Filipino Asian Fusion Burgers ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/0_SyJ7-CbdlQF3e9PiQr8A/o.jpg"
"Chibiscus Asian Cafe","7361 W Sunset Blvd","90046","Asian Fusion Ramen ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/R_6hhT4Ghj2b1egUILG8qQ/o.jpg"
