"restaurant_name","address","zip_code","restaurant_style","rating_count","avg_rating","price_range","image"
"Mac Daddy","1453 18th St","94107","American (Traditional) Salad Breakfast & Brunch ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/uEjIEoVbIr8U_uW7g1k-PA/o.jpg"
"Golden Boy Pizza","542 Green St","94133","Pizza Italian ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/F8OxoXdS51h2VfU9Je2cNQ/o.jpg"
"The Front Porch","65 29th St","94110","Southern Cajun/Creole American (Traditional) ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/0fmMVyqSKOMIqtkQksUTUQ/o.jpg"
"Hook Fish","4542 Irving St","94122","Seafood Tacos ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/f1t0l-gKYDwLPjM9x0YgmQ/o.jpg"
"Dinosaurs","2275 Market St","94114","Vietnamese Sandwiches ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/7IYQ1nkmrGJgNhTDEr7M4Q/o.jpg"
"Matterhorn Restaurant & Bakery","2323 Van Ness Ave","94109","Modern European Fondue ",0,0,0,"https://s3-media4.fl.yelpcdn.com/bphoto/VeUqm7KT_YXDBBHVaCt1Mg/o.jpg"
"Vientian Café","3801 Allendale Ave","94619","Vietnamese Thai Laotian ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/6UZmhoIN7NcFQ3NE3eO1Hw/o.jpg"
"Karaage Burger","670 E 3rd Ave","94401","Burgers Asian Fusion Chicken Shop ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/nTqcrxcOKTcVAYgyfQdORg/o.jpg"
"Hotbird","","94129","Sandwiches Food Stands Chicken Shop ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/ytsdRXm5AAWQHBzd8Sbz4A/o.jpg"
"World Wrapps","208 Corte Madera Town Ctr","94925","Wraps Bubble Tea Fast Food ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/UYqTUBZ_dcsuXc5MG2oEyg/o.jpg"
"Gai Chicken Rice","3463 16th St","94114","Thai Vietnamese Singaporean ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/9UQqHuLAZOIQC9AIaWMDWQ/o.jpg"
"Rooster & Rice","2211 Filbert St","94123","Chicken Shop Thai ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/I3KtXLlVpmq_Ugcv-PHj6Q/o.jpg"
"Morning Wood","260 El Camino Real","94066","Japanese Breakfast & Brunch Hawaiian ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/8QaAXxgt3ggbfCSxM-yaQg/o.jpg"
"Saucy Asian","3801 17th St","94114","Korean Asian Fusion Specialty Food ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/8p9cw2vuU8J_W0IzbAmJSQ/o.jpg"
"Derm Restaurant","3226 Geary Blvd","94118","Thai Breakfast & Brunch ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/weflTRWhCZimef6xIyZa6w/o.jpg"
"Lime Tree Southeast Asian Kitchen","450 Irving St","94122","Singaporean Malaysian Indonesian ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/iRZNWChTPlQO4VyqD5Q_hw/o.jpg"
"Konomama","4601 Geary Blvd","94118","Japanese Beer Bar ",0,0,0,"https://s3-media4.fl.yelpcdn.com/bphoto/ftjf5C_mGS4533mgwaYyIQ/o.jpg"
"Chubby Noodle","2205 Lombard St","94123","Asian Fusion Noodles ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/RTe4Pxx3Opk8NGBdjIErzQ/o.jpg"
"Zazang Korean Noodles","2340 Geary Blvd","94115","Korean Noodles Soup ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/KFTieLgFq4tgSx9-fpugGQ/o.jpg"
"Noosh","2001 Fillmore St","94115","Mediterranean ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/htZmQ5FmRZjYRujcb2T_WA/o.jpg"
"Souvla","531 Divisadero St","94117","Mediterranean Greek ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/kzOK8tthxodXt9_oSMlSnA/o.jpg"
"Burma Superstar","309 Clement St","94118","Burmese ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/CQljYYJrIWarCxsz02s-7A/o.jpg"
"Homeroom","400 40th St","94609","American (Traditional) Comfort Food ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/VwqaGmFHquEeI4_7_g5bXQ/o.jpg"
"Señor Sisig","","94104","Filipino Food Trucks Asian Fusion ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/APwsLvRELFVXHxDBRqFyAQ/o.jpg"
"Zazie","941 Cole St","94117","Breakfast & Brunch French ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/_JBubnL5rMAiU5D0Uos9zQ/o.jpg"
"The Codmother Fish & Chips","496 Beach St","94133","British Fish & Chips Seafood ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/jIiYLWAA1S-efjnkLJ29FQ/o.jpg"
"Nick's Crispy Tacos","1500 Broadway","94109","Mexican Sports Bars ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/hVCVrVFjEHwZqA5ujDfxfg/o.jpg"
"Inle Burmese Cuisine","1298 Church St","94114","Burmese Noodles ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/YOtrh28hTt2hZyvMjQNeIw/o.jpg"
"Hot Sauce and Panko","1468 Hyde St","94109","Chicken Wings Specialty Food ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/fBs8B6-y9OFSPtvMHoFrsw/o.jpg"
"The Barn","3068 N Cabrillo Hwy","94019","Burgers ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/cbsImF0RWBxkkOMcaeWCNg/o.jpg"
"Mac Daddy","1453 18th St","94107","American (Traditional) Salad Breakfast & Brunch ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/uEjIEoVbIr8U_uW7g1k-PA/o.jpg"
"Golden Boy Pizza","542 Green St","94133","Pizza Italian ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/F8OxoXdS51h2VfU9Je2cNQ/o.jpg"
"The Front Porch","65 29th St","94110","Southern Cajun/Creole American (Traditional) ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/0fmMVyqSKOMIqtkQksUTUQ/o.jpg"
"Hook Fish","4542 Irving St","94122","Seafood Tacos ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/f1t0l-gKYDwLPjM9x0YgmQ/o.jpg"
"Dinosaurs","2275 Market St","94114","Vietnamese Sandwiches ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/7IYQ1nkmrGJgNhTDEr7M4Q/o.jpg"
"Matterhorn Restaurant & Bakery","2323 Van Ness Ave","94109","Modern European Fondue ",0,0,0,"https://s3-media4.fl.yelpcdn.com/bphoto/VeUqm7KT_YXDBBHVaCt1Mg/o.jpg"
"Vientian Café","3801 Allendale Ave","94619","Vietnamese Thai Laotian ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/6UZmhoIN7NcFQ3NE3eO1Hw/o.jpg"
